,Team,ScoreDescending,Overs,RPO,Inns,Result,Opposition,Ground,Start_Date,Year,Runs,Range
516,England,286/8,50.0,5.72,2,tied,vSri Lanka,Nottingham,21 Jun 2016,2016,286,B'twn 200 & 300 runs
517,New Zealand,286/9,50.0,5.72,1,won,vAustralia,Auckland,30 Jan 2017,2017,286,B'twn 200 & 300 runs
518,Bangladesh,285/7,50.0,5.7,2,lost,vPakistan,Lahore,13 Apr 2008,2008,285,B'twn 200 & 300 runs
519,Ireland,285/6,47.0,6.06,1,won,vKenya,Nairobi (Gym),18 Oct 2008,2008,285,B'twn 200 & 300 runs
520,Kenya,285/9,50.0,5.7,1,won,vZimbabwe,Nairobi (Gym),19 Oct 2008,2008,285,B'twn 200 & 300 runs
521,Zimbabwe,285/8,50.0,5.7,1,won,vKenya,Nairobi (Gym),1 Feb 2009,2009,285,B'twn 200 & 300 runs
522,India,285/5,50.0,5.7,1,lost,vZimbabwe,Bulawayo,28 May 2010,2010,285,B'twn 200 & 300 runs
523,India,285/6,50.0,5.7,1,won,vEngland,Kochi,15 Jan 2013,2013,285,B'twn 200 & 300 runs
524,New Zealand,285/6,50.0,5.7,1,won,vWest Indies,Nelson,4 Jan 2014,2014,285,B'twn 200 & 300 runs
525,Scotland,285/5,50.0,5.7,1,won,vU.A.E.,Lincoln,1 Feb 2014,2014,285,B'twn 200 & 300 runs
526,U.A.E.,285/7,50.0,5.7,1,lost,vZimbabwe,Nelson,19 Feb 2015,2015,285,B'twn 200 & 300 runs
527,West Indies,285,49.5,5.71,1,won,vSouth Africa,Bridgetown,24 Jun 2016,2016,285,B'twn 200 & 300 runs
528,New Zealand,285,49.4,5.73,1,lost,vIndia,Mohali,23 Oct 2016,2016,285,B'twn 200 & 300 runs
529,Scotland,284/7,50.0,5.68,2,won,vIreland,Nairobi (Gym),30 Jan 2007,2007,284,B'twn 200 & 300 runs
530,Ireland,284/4,50.0,5.68,1,lost,vKenya,Nairobi (Ruaraka),2 Feb 2007,2007,284,B'twn 200 & 300 runs
531,India,284/8,49.0,5.79,1,won,vBangladesh,Dhaka,12 May 2007,2007,284,B'twn 200 & 300 runs
532,India,284/3,43.2,6.55,2,won,vBangladesh,Karachi,28 Jun 2008,2008,284,B'twn 200 & 300 runs
533,England,284/5,50.0,5.68,1,won,vBangladesh,Chittagong,5 Mar 2010,2010,284,B'twn 200 & 300 runs
534,South Africa,284/8,50.0,5.68,1,won,vBangladesh,Dhaka,19 Mar 2011,2011,284,B'twn 200 & 300 runs
535,Sri Lanka,284/7,50.0,5.68,1,won,vScotland,Edinburgh,13 Jul 2011,2011,284,B'twn 200 & 300 runs
536,Pakistan,284/4,50.0,5.68,1,lost,vSri Lanka,Dubai (DSC),20 Dec 2013,2013,284,B'twn 200 & 300 runs
537,Pakistan,284,48.5,5.81,2,lost,vSri Lanka,Fatullah,25 Feb 2014,2014,284,B'twn 200 & 300 runs
538,New Zealand,284,48.1,5.89,2,lost,vSouth Africa,Centurion,19 Aug 2015,2015,284,B'twn 200 & 300 runs
539,Pakistan,284/9,49.0,5.79,1,won,vWest Indies,Sharjah,30 Sep 2016,2016,284,B'twn 200 & 300 runs
540,Africa XI,283,47.5,5.91,2,lost,vAsia XI,Bengaluru,6 Jun 2007,2007,283,B'twn 200 & 300 runs
541,Australia,283/7,50.0,5.66,2,lost,vIndia,Chandigarh,8 Oct 2007,2007,283,B'twn 200 & 300 runs
542,Bangladesh,283/6,50.0,5.66,1,lost,vIndia,Karachi,28 Jun 2008,2008,283,B'twn 200 & 300 runs
543,South Africa,283/8,50.0,5.66,1,won,vBangladesh,Potchefstroom,7 Nov 2008,2008,283,B'twn 200 & 300 runs
544,Sri Lanka,283/5,48.0,5.89,2,won,vIndia,Dhaka,5 Jan 2010,2010,283,B'twn 200 & 300 runs
545,West Indies,283,48.1,5.87,2,lost,vSouth Africa,North Sound,24 May 2010,2010,283,B'twn 200 & 300 runs
546,Bangladesh,283/9,50.0,5.66,2,lost,vIndia,Dhaka,19 Feb 2011,2011,283,B'twn 200 & 300 runs
547,Sri Lanka,283/7,49.2,5.73,2,won,vAustralia,Hobart,24 Feb 2012,2012,283,B'twn 200 & 300 runs
548,New Zealand,283/4,21.0,13.47,1,won,vWest Indies,Queenstown,1 Jan 2014,2014,283,B'twn 200 & 300 runs
549,New Zealand,283/9,50.0,5.66,1,lost,vEngland,Chester-le-Street,20 Jun 2015,2015,283,B'twn 200 & 300 runs
550,South Africa,283/7,50.0,5.66,1,won,vNew Zealand,Durban,26 Aug 2015,2015,283,B'twn 200 & 300 runs
551,England,283/5,50.0,5.66,1,won,vPakistan,Abu Dhabi,13 Nov 2015,2015,283,B'twn 200 & 300 runs
552,Australia,283/6,46.3,6.08,2,won,vNew Zealand,Wellington,6 Feb 2016,2016,283,B'twn 200 & 300 runs
553,Australia,283/4,48.4,5.81,2,won,vWest Indies,Bridgetown,21 Jun 2016,2016,283,B'twn 200 & 300 runs
554,Afghanistan,283/4,47.2,5.97,1,n/r,vScotland,Edinburgh,4 Jul 2016,2016,283,B'twn 200 & 300 runs
555,South Africa,283/9,50.0,5.66,2,lost,vNew Zealand,Christchurch,22 Feb 2017,2017,283,B'twn 200 & 300 runs
556,Australia,282/6,50.0,5.64,1,won,vNew Zealand,Hobart,20 Dec 2007,2007,282,B'twn 200 & 300 runs
557,Australia,282/8,50.0,5.64,1,won,vWest Indies,Basseterre,4 Jul 2008,2008,282,B'twn 200 & 300 runs
558,Australia,282/7,50.0,5.64,1,won,vSouth Africa,Harare,2 Sep 2014,2014,282,B'twn 200 & 300 runs
559,South Africa,282/9,50.0,5.64,1,won,vNew Zealand,Mount Maunganui,24 Oct 2014,2014,282,B'twn 200 & 300 runs
560,U.A.E.,282/4,48.2,5.83,2,won,vAfghanistan,ICCA Dubai,30 Nov 2014,2014,282,B'twn 200 & 300 runs
561,Hong Kong,282/8,50.0,5.64,1,won,vU.A.E.,ICCA Dubai,18 Nov 2015,2015,282,B'twn 200 & 300 runs
562,West Indies,282/8,50.0,5.64,1,lost,vAustralia,Bridgetown,21 Jun 2016,2016,282,B'twn 200 & 300 runs
563,Pakistan,282/5,50.0,5.64,1,won,vWest Indies,Providence,9 Apr 2017,2017,282,B'twn 200 & 300 runs
564,Australia,281/4,38.0,7.39,1,won,vSri Lanka,Bridgetown,28 Apr 2007,2007,281,B'twn 200 & 300 runs
565,England,281/8,50.0,5.62,1,won,vIndia,Birmingham,27 Aug 2007,2007,281,B'twn 200 & 300 runs
566,West Indies,281/6,50.0,5.62,2,lost,vAustralia,Basseterre,4 Jul 2008,2008,281,B'twn 200 & 300 runs
567,New Zealand,281/8,49.2,5.69,2,won,vAustralia,Napier,3 Mar 2010,2010,281,B'twn 200 & 300 runs
568,Australia,281/9,50.0,5.62,1,won,vWest Indies,Gros Islet,25 Mar 2012,2012,281,B'twn 200 & 300 runs
569,Bangladesh,281/7,50.0,5.62,1,won,vZimbabwe,Chittagong,21 Nov 2014,2014,281,B'twn 200 & 300 runs
570,South Africa,281/5,43.0,6.53,1,lost,vNew Zealand,Auckland,24 Mar 2015,2015,281,B'twn 200 & 300 runs
571,New Zealand,281/9,50.0,5.62,1,lost,vAustralia,Wellington,6 Feb 2016,2016,281,B'twn 200 & 300 runs
572,New Zealand,281/9,50.0,5.62,1,won,vAustralia,Hamilton,5 Feb 2017,2017,281,B'twn 200 & 300 runs
573,Ireland,280/7,50.0,5.6,1,lost,vScotland,Nairobi (Gym),30 Jan 2007,2007,280,B'twn 200 & 300 runs
574,South Africa,280/7,48.0,5.83,1,won,vWest Indies,North Sound,22 May 2010,2010,280,B'twn 200 & 300 runs
575,India,280/5,50.0,5.6,1,tied,vEngland,Lord's,11 Sep 2011,2011,280,B'twn 200 & 300 runs
576,Australia,280/6,50.0,5.6,1,lost,vSri Lanka,Hobart,24 Feb 2012,2012,280,B'twn 200 & 300 runs
577,Sri Lanka,280/4,50.0,5.6,1,won,vPakistan,Pallekele,9 Jun 2012,2012,280,B'twn 200 & 300 runs
578,South Africa,280/6,49.0,5.71,1,won,vIndia,Durban,8 Dec 2013,2013,280,B'twn 200 & 300 runs
579,New Zealand,280/3,48.1,5.81,2,won,vIndia,Hamilton,28 Jan 2014,2014,280,B'twn 200 & 300 runs
580,India,280/4,49.0,5.71,2,won,vBangladesh,Fatullah,26 Feb 2014,2014,280,B'twn 200 & 300 runs
581,South Africa,280/6,50.0,5.6,1,lost,vAustralia,Sydney,23 Nov 2014,2014,280,B'twn 200 & 300 runs
582,Afghanistan,280/8,50.0,5.6,1,lost,vU.A.E.,ICCA Dubai,30 Nov 2014,2014,280,B'twn 200 & 300 runs
583,New Zealand,280/6,48.1,5.81,2,won,vSri Lanka,Nelson,20 Jan 2015,2015,280,B'twn 200 & 300 runs
584,New Zealand,280/8,50.0,5.6,1,won,vPakistan,Wellington,25 Jan 2016,2016,280,B'twn 200 & 300 runs
585,Australia,280,47.0,5.95,2,lost,vNew Zealand,Auckland,30 Jan 2017,2017,280,B'twn 200 & 300 runs
586,New Zealand,280/3,45.0,6.22,2,won,vSouth Africa,Hamilton,1 Mar 2017,2017,280,B'twn 200 & 300 runs
587,Sri Lanka,280/9,50.0,5.6,1,won,vBangladesh,Colombo (SSC),1 Apr 2017,2017,280,B'twn 200 & 300 runs
588,England,279/6,50.0,5.58,1,won,vCanada,Gros Islet,18 Mar 2007,2007,279,B'twn 200 & 300 runs
589,Pakistan,279/8,50.0,5.58,1,won,vSri Lanka,Colombo (RPS),9 Aug 2009,2009,279,B'twn 200 & 300 runs
590,India,279/9,50.0,5.58,1,lost,vSri Lanka,Dhaka,5 Jan 2010,2010,279,B'twn 200 & 300 runs
591,Australia,279/7,50.0,5.58,1,won,vEngland,Perth,6 Feb 2011,2011,279,B'twn 200 & 300 runs
592,New Zealand,279/8,50.0,5.58,1,won,vSouth Africa,Kimberley,22 Jan 2013,2013,279,B'twn 200 & 300 runs
593,Bangladesh,279/7,50.0,5.58,1,lost,vIndia,Fatullah,26 Feb 2014,2014,279,B'twn 200 & 300 runs
594,South Africa,279/8,48.2,5.77,1,won,vWest Indies,Durban,16 Jan 2015,2015,279,B'twn 200 & 300 runs
595,Ireland,279/8,49.2,5.65,2,won,vU.A.E.,Brisbane,25 Feb 2015,2015,279,B'twn 200 & 300 runs
596,Bangladesh,279/8,50.0,5.58,1,won,vAfghanistan,Dhaka,1 Oct 2016,2016,279,B'twn 200 & 300 runs
597,South Africa,279/8,50.0,5.58,1,lost,vNew Zealand,Hamilton,1 Mar 2017,2017,279,B'twn 200 & 300 runs
598,Bangladesh,278/5,50.0,5.56,1,won,vCanada,St John's,28 Feb 2007,2007,278,B'twn 200 & 300 runs
599,West Indies,278/5,50.0,5.56,1,won,vEngland,Birmingham,4 Jul 2007,2007,278,B'twn 200 & 300 runs
600,Australia,278/7,50.0,5.56,2,lost,vEngland,Adelaide,26 Jan 2011,2011,278,B'twn 200 & 300 runs
601,India,278/5,50.0,5.56,1,lost,vNew Zealand,Hamilton,28 Jan 2014,2014,278,B'twn 200 & 300 runs
602,West Indies,278,47.4,5.83,2,lost,vEngland,North Sound,5 Mar 2014,2014,278,B'twn 200 & 300 runs
603,Australia,278/8,50.0,5.56,1,won,vEngland,Perth,1 Feb 2015,2015,278,B'twn 200 & 300 runs
604,U.A.E.,278/9,50.0,5.56,1,lost,vIreland,Brisbane,25 Feb 2015,2015,278,B'twn 200 & 300 runs
605,West Indies,278/7,50.0,5.56,2,lost,vPakistan,Sharjah,2 Oct 2016,2016,278,B'twn 200 & 300 runs
606,England,278/6,47.5,5.81,2,won,vBangladesh,Chittagong,12 Oct 2016,2016,278,B'twn 200 & 300 runs
607,Sri Lanka,277,46.4,5.93,2,lost,vNew Zealand,Johannesburg,27 Sep 2009,2009,277,B'twn 200 & 300 runs
608,Australia,277/8,50.0,5.54,1,won,vPakistan,Perth,29 Jan 2010,2010,277,B'twn 200 & 300 runs
609,Australia,277/7,50.0,5.54,1,won,vEngland,Lord's,3 Jul 2010,2010,277,B'twn 200 & 300 runs
610,Sri Lanka,277/9,50.0,5.54,1,won,vWest Indies,Colombo (SSC),6 Feb 2011,2011,277,B'twn 200 & 300 runs
611,Pakistan,277/7,50.0,5.54,1,won,vSri Lanka,Colombo (RPS),26 Feb 2011,2011,277,B'twn 200 & 300 runs
612,India,277/4,48.2,5.73,2,won,vSri Lanka,Mumbai,2 Apr 2011,2011,277,B'twn 200 & 300 runs
613,India,277/9,41.3,6.67,2,lost,vNew Zealand,Hamilton,22 Jan 2014,2014,277,B'twn 200 & 300 runs
614,Pakistan,277/6,44.5,6.17,2,won,vSri Lanka,Hambantota,23 Aug 2014,2014,277,B'twn 200 & 300 runs
615,Zimbabwe,277,48.2,5.73,2,lost,vSouth Africa,Hamilton,15 Feb 2015,2015,277,B'twn 200 & 300 runs
616,Sri Lanka,277/2,46.2,5.97,2,won,vNew Zealand,Nelson,31 Dec 2015,2015,277,B'twn 200 & 300 runs
617,Bangladesh,277/6,50.0,5.54,1,lost,vEngland,Chittagong,12 Oct 2016,2016,277,B'twn 200 & 300 runs
618,Ireland,276/6,48.4,5.67,2,won,vBermuda,Nairobi (Jaff),31 Jan 2007,2007,276,B'twn 200 & 300 runs
619,Scotland,276/4,50.0,5.52,1,won,vCanada,Nairobi (Ruaraka),31 Jan 2007,2007,276,B'twn 200 & 300 runs
620,Canada,276/9,50.0,5.52,1,won,vBermuda,King City (NW),1 Jul 2008,2008,276,B'twn 200 & 300 runs
621,Bangladesh,276/7,49.0,5.63,2,won,vWest Indies,Roseau,28 Jul 2009,2009,276,B'twn 200 & 300 runs
622,India,276,49.0,5.63,1,won,vNew Zealand,Guwahati,28 Nov 2010,2010,276,B'twn 200 & 300 runs
623,Afghanistan,276/8,49.4,5.55,2,won,vU.A.E.,ICCA Dubai,2 Dec 2014,2014,276,B'twn 200 & 300 runs
624,Sri Lanka,276,49.3,5.57,1,lost,vNew Zealand,Nelson,20 Jan 2015,2015,276,B'twn 200 & 300 runs
625,India,276/5,50.0,5.52,1,won,vZimbabwe,Harare,14 Jul 2015,2015,276,B'twn 200 & 300 runs
626,Zimbabwe,276/6,50.0,5.52,1,won,vPakistan,Harare,3 Oct 2015,2015,276,B'twn 200 & 300 runs
627,Bangladesh,276/9,50.0,5.52,1,won,vZimbabwe,Dhaka,11 Nov 2015,2015,276,B'twn 200 & 300 runs
628,New Zealand,276/8,50.0,5.52,1,lost,vSri Lanka,Nelson,31 Dec 2015,2015,276,B'twn 200 & 300 runs
629,Bermuda,275/8,50.0,5.5,1,lost,vIreland,Nairobi (Jaff),31 Jan 2007,2007,275,B'twn 200 & 300 runs
630,India,275,49.5,5.51,2,lost,vPakistan,Jaipur,18 Nov 2007,2007,275,B'twn 200 & 300 runs
631,England,275/4,50.0,5.5,1,won,vSouth Africa,Leeds,22 Aug 2008,2008,275,B'twn 200 & 300 runs
632,New Zealand,275/4,50.0,5.5,1,n/r,vWest Indies,Auckland,10 Jan 2009,2009,275,B'twn 200 & 300 runs
633,Australia,275/8,50.0,5.5,1,won,vWest Indies,Johannesburg,26 Sep 2009,2009,275,B'twn 200 & 300 runs
634,Australia,275/5,48.3,5.67,2,won,vPakistan,Brisbane,22 Jan 2010,2010,275,B'twn 200 & 300 runs
635,India,275,44.3,6.17,2,lost,vSouth Africa,Ahmedabad,27 Feb 2010,2010,275,B'twn 200 & 300 runs
636,Australia,275/8,50.0,5.5,1,lost,vNew Zealand,Napier,3 Mar 2010,2010,275,B'twn 200 & 300 runs
637,Ireland,275/6,50.0,5.5,1,won,vNetherlands,Dublin,16 Aug 2010,2010,275,B'twn 200 & 300 runs
638,Pakistan,275/9,49.5,5.51,2,won,vSouth Africa,Dubai (DSC),5 Nov 2010,2010,275,B'twn 200 & 300 runs
639,West Indies,275,50.0,5.5,1,won,vIreland,Mohali,11 Mar 2011,2011,275,B'twn 200 & 300 runs
640,Ireland,275/5,47.0,5.85,2,tied,vPakistan,Dublin,23 May 2013,2013,275,B'twn 200 & 300 runs
641,Sri Lanka,275/7,45.0,6.11,1,lost,vPakistan,Hambantota,23 Aug 2014,2014,275,B'twn 200 & 300 runs
642,India,275/4,44.3,6.17,2,won,vSri Lanka,Ahmedabad,6 Nov 2014,2014,275,B'twn 200 & 300 runs
643,Australia,275/8,47.1,5.83,2,won,vSouth Africa,Sydney,23 Nov 2014,2014,275,B'twn 200 & 300 runs
644,New Zealand,275/4,50.0,5.5,1,won,vPakistan,Abu Dhabi,19 Dec 2014,2014,275,B'twn 200 & 300 runs
645,Bangladesh,275/7,50.0,5.5,1,won,vEngland,Adelaide,9 Mar 2015,2015,275,B'twn 200 & 300 runs
646,Pakistan,275,42.4,6.44,2,lost,vEngland,Nottingham,30 Aug 2016,2016,275,B'twn 200 & 300 runs
647,Zimbabwe,274/8,50.0,5.48,1,won,vWest Indies,Harare,30 Nov 2007,2007,274,B'twn 200 & 300 runs
648,West Indies,274/6,50.0,5.48,1,lost,vBangladesh,Roseau,28 Jul 2009,2009,274,B'twn 200 & 300 runs
649,Pakistan,274,49.4,5.51,1,lost,vAustralia,Brisbane,22 Jan 2010,2010,274,B'twn 200 & 300 runs
650,West Indies,274/8,50.0,5.48,2,lost,vAustralia,Brisbane,14 Feb 2010,2010,274,B'twn 200 & 300 runs
651,England,274/6,41.0,6.68,1,won,vPakistan,Chester-le-Street,10 Sep 2010,2010,274,B'twn 200 & 300 runs
652,South Africa,274/6,50.0,5.48,1,lost,vPakistan,Dubai (DSC),5 Nov 2010,2010,274,B'twn 200 & 300 runs
653,Sri Lanka,274/6,50.0,5.48,1,lost,vIndia,Mumbai,2 Apr 2011,2011,274,B'twn 200 & 300 runs
654,India,274/7,50.0,5.48,1,n/r,vEngland,Chester-le-Street,3 Sep 2011,2011,274,B'twn 200 & 300 runs
655,Sri Lanka,274/2,44.2,6.18,2,won,vAustralia,Adelaide,6 Mar 2012,2012,274,B'twn 200 & 300 runs
656,Sri Lanka,274,45.4,6.0,2,lost,vIndia,Pallekele,4 Aug 2012,2012,274,B'twn 200 & 300 runs
657,Australia,274/5,50.0,5.48,1,won,vWest Indies,Melbourne,10 Feb 2013,2013,274,B'twn 200 & 300 runs
658,West Indies,274/3,49.0,5.59,2,won,vZimbabwe,St George's,24 Feb 2013,2013,274,B'twn 200 & 300 runs
659,England,274/4,43.0,6.37,2,won,vIreland,Dublin (Malahide),3 Sep 2013,2013,274,B'twn 200 & 300 runs
660,Sri Lanka,274/8,50.0,5.48,1,lost,vIndia,Ahmedabad,6 Nov 2014,2014,274,B'twn 200 & 300 runs
661,Australia,273/8,50.0,5.46,1,won,vWest Indies,Kingstown,24 Jun 2008,2008,273,B'twn 200 & 300 runs
662,Sri Lanka,273,49.5,5.47,1,won,vIndia,Karachi,6 Jul 2008,2008,273,B'twn 200 & 300 runs
663,Pakistan,273/6,50.0,5.46,1,won,vWest Indies,Abu Dhabi,16 Nov 2008,2008,273,B'twn 200 & 300 runs
664,India,273/4,43.4,6.25,2,won,vEngland,Cuttack,26 Nov 2008,2008,273,B'twn 200 & 300 runs
665,India,273/4,38.0,7.18,1,won,vNew Zealand,Napier,3 Mar 2009,2009,273,B'twn 200 & 300 runs
666,Sri Lanka,273,46.4,5.85,2,lost,vIndia,Colombo (RPS),14 Sep 2009,2009,273,B'twn 200 & 300 runs
667,Australia,273/7,50.0,5.46,1,won,vNew Zealand,Auckland,6 Mar 2010,2010,273,B'twn 200 & 300 runs
668,South Africa,273/2,39.0,7.0,2,won,vZimbabwe,Potchefstroom,17 Oct 2010,2010,273,B'twn 200 & 300 runs
669,Zimbabwe,273/8,50.0,5.46,1,lost,vWest Indies,St George's,24 Feb 2013,2013,273,B'twn 200 & 300 runs
670,England,273,44.1,6.18,2,lost,vNew Zealand,Southampton,2 Jun 2013,2013,273,B'twn 200 & 300 runs
671,U.A.E.,273/5,50.0,5.46,1,lost,vAfghanistan,ICCA Dubai,2 Dec 2014,2014,273,B'twn 200 & 300 runs
672,New Zealand,273/6,50.0,5.46,1,won,vZimbabwe,Harare,7 Aug 2015,2015,273,B'twn 200 & 300 runs
673,Bangladesh,273/9,50.0,5.46,1,won,vZimbabwe,Dhaka,7 Nov 2015,2015,273,B'twn 200 & 300 runs
674,Pakistan,272/9,50.0,5.44,1,won,vZimbabwe,Multan,27 Jan 2008,2008,272,B'twn 200 & 300 runs
675,South Africa,272/7,49.3,5.49,2,won,vAustralia,Melbourne,16 Jan 2009,2009,272,B'twn 200 & 300 runs
676,South Africa,272/7,50.0,5.44,1,won,vIreland,Kolkata,15 Mar 2011,2011,272,B'twn 200 & 300 runs
677,England,272/5,50.0,5.44,1,won,vAustralia,Lord's,29 Jun 2012,2012,272,B'twn 200 & 300 runs
678,Australia,272/8,50.0,5.44,1,won,vAfghanistan,Sharjah,25 Aug 2012,2012,272,B'twn 200 & 300 runs
679,Bangladesh,272/9,50.0,5.44,1,lost,vIndia,Dhaka,15 Jun 2014,2014,272,B'twn 200 & 300 runs
680,Australia,271/8,50.0,5.42,1,lost,vSouth Africa,Melbourne,16 Jan 2009,2009,271,B'twn 200 & 300 runs
681,Zimbabwe,271,46.1,5.87,2,lost,vBangladesh,Bulawayo,11 Aug 2009,2009,271,B'twn 200 & 300 runs
682,Zimbabwe,271/4,48.0,5.64,2,won,vKenya,Harare,17 Oct 2009,2009,271,B'twn 200 & 300 runs
683,India,271/7,49.5,5.43,2,won,vPakistan,Dambulla,19 Jun 2010,2010,271,B'twn 200 & 300 runs
684,India,271/8,50.0,5.42,1,won,vEngland,Kolkata,25 Oct 2011,2011,271,B'twn 200 & 300 runs
685,Australia,271/6,50.0,5.42,1,lost,vSri Lanka,Adelaide,6 Mar 2012,2012,271,B'twn 200 & 300 runs
686,New Zealand,271/7,42.0,6.45,1,won,vIndia,Hamilton,22 Jan 2014,2014,271,B'twn 200 & 300 runs
687,South Africa,271/6,50.0,5.42,1,won,vZimbabwe,Harare,4 Sep 2014,2014,271,B'twn 200 & 300 runs
688,West Indies,271,48.1,5.62,2,lost,vIndia,Dharamsala,17 Oct 2014,2014,271,B'twn 200 & 300 runs
689,India,271/8,50.0,5.42,1,won,vZimbabwe,Harare,12 Jul 2015,2015,271,B'twn 200 & 300 runs
690,Afghanistan,271/6,50.0,5.42,1,won,vZimbabwe,Bulawayo,18 Oct 2015,2015,271,B'twn 200 & 300 runs
691,Pakistan,271,40.4,6.66,2,lost,vEngland,Dubai (DSC),20 Nov 2015,2015,271,B'twn 200 & 300 runs
692,South Africa,271/8,50.0,5.42,1,won,vNew Zealand,Wellington,25 Feb 2017,2017,271,B'twn 200 & 300 runs
693,West Indies,270/7,43.4,6.18,2,won,vIndia,Chennai,27 Jan 2007,2007,270,B'twn 200 & 300 runs
694,England,270/7,50.0,5.4,1,won,vNew Zealand,Brisbane,6 Feb 2007,2007,270,B'twn 200 & 300 runs
695,England,270/4,50.0,5.4,1,lost,vIndia,Cuttack,26 Nov 2008,2008,270,B'twn 200 & 300 runs
696,South Africa,270/7,46.3,5.8,2,won,vAustralia,Sydney,23 Jan 2009,2009,270,B'twn 200 & 300 runs
697,New Zealand,270/5,47.0,5.74,1,lost,vIndia,Hamilton,11 Mar 2009,2009,270,B'twn 200 & 300 runs
698,England,270/7,50.0,5.4,1,won,vWest Indies,Providence,20 Mar 2009,2009,270,B'twn 200 & 300 runs
699,West Indies,270,49.4,5.43,2,lost,vEngland,Birmingham,26 May 2009,2009,270,B'twn 200 & 300 runs
700,Kenya,270/8,50.0,5.4,1,lost,vZimbabwe,Harare,17 Oct 2009,2009,270,B'twn 200 & 300 runs
701,Sri Lanka,270/4,48.2,5.58,2,won,vIndia,Harare,5 Jun 2010,2010,270,B'twn 200 & 300 runs
702,Australia,270/7,50.0,5.4,1,won,vBangladesh,Dhaka,9 Apr 2011,2011,270,B'twn 200 & 300 runs
703,England,270/8,48.5,5.52,2,tied,vIndia,Lord's,11 Sep 2011,2011,270,B'twn 200 & 300 runs
704,Pakistan,270/5,50.0,5.4,1,won,vZimbabwe,Harare,14 Sep 2011,2011,270,B'twn 200 & 300 runs
705,India,270/5,48.1,5.6,2,won,vWest Indies,Visakhapatnam,2 Dec 2011,2011,270,B'twn 200 & 300 runs
706,India,270/6,49.4,5.43,2,won,vAustralia,Adelaide,12 Feb 2012,2012,270,B'twn 200 & 300 runs
707,England,270/2,47.4,5.66,2,won,vNew Zealand,Napier,20 Feb 2013,2013,270,B'twn 200 & 300 runs
708,Australia,270/4,45.4,5.91,2,won,vEngland,Melbourne,12 Jan 2014,2014,270,B'twn 200 & 300 runs
709,Zimbabwe,270/5,48.3,5.56,2,won,vIreland,Harare,11 Oct 2015,2015,270,B'twn 200 & 300 runs
710,South Africa,270/7,50.0,5.4,1,won,vIndia,Rajkot,18 Oct 2015,2015,270,B'twn 200 & 300 runs
711,Australia,270/9,50.0,5.4,1,won,vWest Indies,Bridgetown,26 Jun 2016,2016,270,B'twn 200 & 300 runs
712,Ireland,270,49.3,5.45,1,won,vU.A.E.,ICCA Dubai,2 Mar 2017,2017,270,B'twn 200 & 300 runs
713,Canada,269/9,50.0,5.38,2,lost,vScotland,Nairobi (Ruaraka),31 Jan 2007,2007,269,B'twn 200 & 300 runs
714,Bermuda,269/5,49.0,5.48,2,won,vScotland,Nairobi (Ruaraka),5 Feb 2007,2007,269,B'twn 200 & 300 runs
715,Sri Lanka,269/7,50.0,5.38,1,won,vEngland,Dambulla,1 Oct 2007,2007,269,B'twn 200 & 300 runs
716,Australia,269,49.2,5.45,1,lost,vSouth Africa,Sydney,23 Jan 2009,2009,269,B'twn 200 & 300 runs
717,New Zealand,269,47.3,5.66,2,lost,vAustralia,Sydney,8 Feb 2009,2009,269,B'twn 200 & 300 runs
718,West Indies,269/9,50.0,5.38,1,lost,vIndia,Visakhapatnam,2 Dec 2011,2011,269,B'twn 200 & 300 runs
719,Australia,269/8,50.0,5.38,1,lost,vIndia,Adelaide,12 Feb 2012,2012,269,B'twn 200 & 300 runs
720,New Zealand,269,48.5,5.5,1,lost,vEngland,Napier,20 Feb 2013,2013,269,B'twn 200 & 300 runs
721,Bangladesh,269/8,50.0,5.38,1,won,vZimbabwe,Bulawayo,3 May 2013,2013,269,B'twn 200 & 300 runs
722,England,269/6,50.0,5.38,1,won,vAustralia,Birmingham,8 Jun 2013,2013,269,B'twn 200 & 300 runs
723,Ireland,269/7,50.0,5.38,1,lost,vEngland,Dublin (Malahide),3 Sep 2013,2013,269,B'twn 200 & 300 runs
724,England,269/7,50.0,5.38,1,lost,vAustralia,Melbourne,12 Jan 2014,2014,269,B'twn 200 & 300 runs
725,West Indies,269/6,50.0,5.38,1,won,vEngland,North Sound,28 Feb 2014,2014,269,B'twn 200 & 300 runs
726,Australia,269/6,49.0,5.48,2,won,vIndia,Melbourne,18 Jan 2015,2015,269,B'twn 200 & 300 runs
727,Pakistan,269/4,47.2,5.68,2,won,vZimbabwe,Lahore,29 May 2015,2015,269,B'twn 200 & 300 runs
728,India,269/6,50.0,5.38,1,won,vNew Zealand,Visakhapatnam,29 Oct 2016,2016,269,B'twn 200 & 300 runs
729,Hong Kong,269,49.4,5.41,1,won,vP.N.G.,Mong Kok,4 Nov 2016,2016,269,B'twn 200 & 300 runs
730,India,268,48.0,5.58,1,lost,vWest Indies,Chennai,27 Jan 2007,2007,268,B'twn 200 & 300 runs
731,Scotland,268/9,50.0,5.36,1,lost,vBermuda,Nairobi (Ruaraka),5 Feb 2007,2007,268,B'twn 200 & 300 runs
732,India,268/9,50.0,5.36,1,lost,vSri Lanka,Harare,5 Jun 2010,2010,268,B'twn 200 & 300 runs
733,England,268/6,46.0,5.82,2,won,vAustralia,Southampton,22 Jun 2010,2010,268,B'twn 200 & 300 runs
